"method","results"
"ols",18.5303011825578
"p0.05",19.7582356915631
"p0.15",18.8852547652759
"step.aic",19.2679740595212
"step.bic",20.0252377329683
"ridge",18.9694183145153
"lasso.min",19.782369750108
"lasso.1se",21.4763197552689
"enet.min",19.782369750108
"enet.1se",21.4763197552689
"ols",16.8654554659808
"p0.05",17.3353938137104
"p0.15",18.5076660823073
"step.aic",16.7945802497685
"step.bic",17.2299693873809
"ridge",16.0212333328569
"lasso.min",16.490222989291
"lasso.1se",18.7843504076541
"enet.min",16.1872293934675
"enet.1se",18.5408429978384
"ols",14.2097198687394
"p0.05",15.3085237694475
"p0.15",15.1119260551457
"step.aic",14.6540833946859
"step.bic",14.9126408437074
"ridge",13.6074088391292
"lasso.min",13.9656929876529
"lasso.1se",16.6602055090091
"enet.min",13.9731586252107
"enet.1se",16.1789828021768
"ols",14.5680340108894
"p0.05",15.3871495476989
"p0.15",14.7708173690426
"step.aic",14.0170848502415
"step.bic",15.0722267445536
"ridge",13.1762734468351
"lasso.min",14.7139301753932
"lasso.1se",16.1186451542082
"enet.min",13.4141354840434
"enet.1se",16.8322643259797
"ols",16.1027132102791
"p0.05",16.7631823751524
"p0.15",16.5608775862711
"step.aic",17.6322967846599
"step.bic",17.4057048568997
"ridge",16.6608651819652
"lasso.min",17.6161199806179
"lasso.1se",19.8883819893129
"enet.min",17.6161199806179
"enet.1se",19.8883819893129
"ols",16.3211421710269
"p0.05",17.6390312070872
"p0.15",16.9936765273999
"step.aic",16.7867741396027
"step.bic",18.0806183356766
"ridge",16.4582812228912
"lasso.min",16.7877528779491
"lasso.1se",18.5721018736655
"enet.min",16.8348602163155
"enet.1se",18.6927672571543
"ols",27.898132238455
"p0.05",29.2321284198693
"p0.15",29.1156594555529
"step.aic",29.3145920049611
"step.bic",29.710344877864
"ridge",28.348158687127
"lasso.min",28.7863007753057
"lasso.1se",30.3995783481005
"enet.min",28.6835020246665
"enet.1se",30.5837005838229
"ols",22.126466797783
"p0.05",18.3885348229502
"p0.15",19.772920628344
"step.aic",21.1501823357059
"step.bic",18.2499620308057
"ridge",19.5925709616424
"lasso.min",19.9956993391319
"lasso.1se",17.5510130252149
"enet.min",19.4332957348999
"enet.1se",18.1435405085502
"ols",21.9829585279151
"p0.05",19.576500278062
"p0.15",20.1533310252734
"step.aic",21.4787611003453
"step.bic",19.3037079666245
"ridge",18.7384546997581
"lasso.min",19.1234093102788
"lasso.1se",18.9358554537774
